ID,loc_x,loc_y,loc_z,pitch,yaw,roll
77,-125.0100326538086,-25.917984008789062,-1.52587890625e-05,360.0,270.3935546875,0.0
78,-124.97569274902344,-30.917865753173828,-1.52587890625e-05,360.0,270.3935546875,0.0
79,-124.94134521484375,-35.917747497558594,-1.52587890625e-05,360.0,270.3935546875,0.0
80,-124.9070053100586,-40.91762924194336,-1.52587890625e-05,360.0,270.3935546875,0.0
81,-124.87266540527344,-45.917510986328125,-1.52587890625e-05,360.0,270.3935546875,0.0
82,-124.83831787109375,-50.91739273071289,-1.52587890625e-05,360.0,270.3935546875,0.0
83,-124.8039779663086,-55.917274475097656,-1.52587890625e-05,360.0,270.3935546875,0.0
84,-124.7696304321289,-60.91715621948242,-1.52587890625e-05,360.0,270.3935546875,0.0
85,-124.73529052734375,-65.91704559326172,-1.52587890625e-05,360.0,270.3935546875,0.0
86,-124.70094299316406,-70.91692352294922,-1.52587890625e-05,360.0,270.3935546875,0.0
87,-124.6666030883789,-75.91680908203125,-1.52587890625e-05,360.0,270.3935546875,0.0
88,-121.51011657714844,-25.893943786621094,-1.52587890625e-05,360.0,270.3935546875,0.0
89,-121.47577667236328,-30.89382553100586,-1.52587890625e-05,360.0,270.3935546875,0.0
90,-121.4414291381836,-35.893707275390625,-1.52587890625e-05,360.0,270.3935546875,0.0
91,-121.40708923339844,-40.89358901977539,-1.52587890625e-05,360.0,270.3935546875,0.0
92,-121.37274932861328,-45.893470764160156,-1.52587890625e-05,360.0,270.3935546875,0.0
93,-121.3384017944336,-50.89335250854492,-1.52587890625e-05,360.0,270.3935546875,0.0
94,-121.30406188964844,-55.89323425292969,-1.52587890625e-05,360.0,270.3935546875,0.0
95,-121.26971435546875,-60.89311599731445,-1.52587890625e-05,360.0,270.3935546875,0.0
96,-121.2353744506836,-65.89300537109375,-1.52587890625e-05,360.0,270.3935546875,0.0
97,-121.2010269165039,-70.89288330078125,-1.52587890625e-05,360.0,270.3935546875,0.0
98,-121.16668701171875,-75.89276885986328,-1.52587890625e-05,360.0,270.3935546875,0.0
99,-112.19474792480469,-91.56280517578125,0.0,360.0,-179.9136962890625,0.0
100,-117.66382598876953,-90.73351287841797,0.0,360.0,161.8509063720703,0.0
101,-122.58467102050781,-88.14505004882812,-5.40154996997444e-06,359.9998474121094,142.6586456298828,0.0
102,-126.33361053466797,-83.90352630615234,-1.52587890625e-05,360.0,119.74029541015625,0.0
103,-128.08087158203125,-78.49665069580078,-1.52587890625e-05,360.0,96.07659149169922,0.0
104,-121.16018676757812,-76.8390884399414,-1.52587890625e-05,0.0,-89.6064453125,0.0
105,-120.09317779541016,-80.66950225830078,-1.4448186448134948e-05,0.00010175148054258898,-57.900733947753906,0.0
106,-117.07929229736328,-83.3828125,0.0,0.0,-28.477293014526367,0.0
107,-113.0365982055664,-84.54412078857422,0.0,0.0,-3.5773258209228516,0.0
108,-112.21696472167969,-84.56282806396484,0.0,0.0,-359.9136962890625,0.0
109,-131.65992736816406,-76.91160583496094,-1.52587890625e-05,360.0,90.3935546875,0.0
110,-141.61798095703125,-84.60710906982422,0.0,360.0,0.0863037109375,0.0
111,-137.3012237548828,-83.87822723388672,0.0,360.0,19.7098388671875,0.0
112,-133.63966369628906,-81.75559997558594,0.0,360.0,43.93119812011719,0.0
113,-131.7823028564453,-78.3547592163086,-1.52587890625e-05,360.0,78.78688049316406,0.0
114,-124.31295776367188,-127.40164184570312,-1.52587890625e-05,360.0,270.3935546875,0.0
115,-125.02886962890625,-132.83355712890625,0.0010003388160839677,360.15313720703125,-105.93099975585938,0.0
116,-127.32925415039062,-137.87472534179688,0.042971257120370865,360.5368347167969,-124.35458374023438,0.0
117,-131.9367218017578,-141.60958862304688,0.055450439453125,360.0,-157.58810424804688,0.0
118,-112.2116928100586,-88.06282043457031,0.0,0.0,-359.9136962890625,0.0
119,-141.54852294921875,-91.60701751708984,0.0,0.0,-179.9136962890625,0.0
120,-132.00987243652344,-25.966060638427734,-1.52587890625e-05,0.0,90.39353942871094,0.0
121,-132.04420471191406,-20.96617889404297,-1.52587890625e-05,0.0,90.39353942871094,0.0
122,-132.0689697265625,-15.93351936340332,-1.52587890625e-05,0.0,90.03633880615234,0.0
123,-128.50994873046875,-25.942020416259766,-1.52587890625e-05,0.0,90.39353942871094,0.0
124,-128.54429626464844,-20.942138671875,-1.52587890625e-05,0.0,90.39353942871094,0.0
125,-128.5689697265625,-15.931299209594727,-1.52587890625e-05,0.0,90.03633880615234,0.0
126,-125.05537414550781,-11.922170639038086,-1.5234990314638708e-05,360.0,269.5755615234375,0.0
127,-125.06739044189453,-16.904634475708008,-1.52587890625e-05,360.0,270.1485290527344,0.0
128,-125.03765106201172,-21.89706039428711,-1.52587890625e-05,360.0,270.3935546875,0.0
129,-121.55547332763672,-11.948097229003906,-1.5234990314638708e-05,360.0,269.5755615234375,0.0
130,-121.56739807128906,-16.89556121826172,-1.52587890625e-05,360.0,270.1485290527344,0.0
131,-121.53773498535156,-21.87302017211914,-1.52587890625e-05,360.0,270.3935546875,0.0
132,-120.98469543457031,-102.38778686523438,-1.52587890625e-05,360.0,270.3935546875,0.0
133,-112.1894760131836,-95.06279754638672,0.0,360.0,-179.9136962890625,0.0
134,-116.36087799072266,-95.90168762207031,-1.0669477887859102e-06,359.9999084472656,-156.55197143554688,0.0
135,-119.65469360351562,-98.30870819091797,-1.1152683327964041e-05,359.9998779296875,-127.78076171875,0.0
136,-120.980224609375,-101.93161010742188,-1.52587890625e-05,360.0,-92.41180419921875,0.0
137,-112.31645965576172,2.8227107524871826,0.0,360.0,359.86053466796875,0.0
138,-128.10903930664062,13.750651359558105,-4.336925929493418e-09,360.0,89.17050170898438,0.0
139,-131.60867309570312,13.801321029663086,-4.336925929493418e-09,360.0,89.17050170898438,0.0
140,-132.05520629882812,-11.870314598083496,-1.5234990314638708e-05,3.888278570229886e-06,89.57556915283203,0.0
141,-133.05886840820312,-8.003913879394531,-1.4813442248851061e-05,3.142180139548145e-05,120.74690246582031,0.0
